,caring,happy,confident,confused,sad,vulnerable,fearful,angry
mild,Appreciative,Glad,committed,bothered,disappointed,bashful,cautious,annoyed
mild,Friendly,grateful,competent,distracted,down,chagrined,on edge,bugged
mild,Interested in,please,dedicated,uncertain,glum,embarrassed,shy,frustrated
mild,Intrigued by,content,determined,undecided,in a funk,hesitant,tense,grouchy
mild,Tender,satisfied,focused,unsettled,lonely,reluctant,tentative,impatient
mild,Understanding,,,uneasy,low,sheepish,timid,irritated
mild,Warmly toward,,,,somber,startled,uncomfortable,miffed
mild,,,,,subdued,surprised,uneasy,raw
mild,,,,,unhappy,,,sullen
medium,caring,happy,confident,confused,sad,vulnerable,fearful,angry
medium,admiring,cheerful,brave,bewildered,dejected,apologetic,afraid,aggravated
medium,affectionate,delighted,hopeful,blurry,disconnected,contrite,alarmed,agitated
medium,close to ,in high spirits,proud,foggy,discouraged,crummy,anxious,defensive
medium,compassionate,jovial,receptive,lost,distressed,exposed,apprehensive,dismayed
medium,concern for,light-hearted,resilient,misunderstood,gloomy,guilty,freightened,exasperated
medium,empathetic,merry,,perplexed,hurt,regretful,worried,indignant
medium,loving,optimistic,,puzzled,insignificant,remorseful,nervous,mad
medium,trusting,playful,,stuck,melancholy,sorry,scared,pissed off
medium,warm hearted,,,,upset,,,resentful
strong,adoring,amazed,inspired,baffled,awful,ashamed,distressed,bitter
strong,crazy about,ecstatic,daring,confounded,crushed,delinquent,horrified,disgusted
strong,devoted,elated,brash,overwhelmed,depressed,disgraced,intimidated,enraged
strong,enamored,euphoric,bold,powerless,desolate,horrible,panicked,rusious
strong,engrossed,exhilarated,pumped,rattled,despondent,humiliated,paralyzed,irate
strong,fascinated,overjoyed,,shocked,grieved,inept,petrified,outraged
strong,passionate,thrilled,,stumped,hopeless,mortified,shocked,vengeful
strong,protective of,,,stunned,miserable,useless,terrified,vindictive
strong,wild about,,,,,worthless,,
